"","ligand","receptor","species"
"785","SLIT1","FLRT3","Human"
"786","TIMP3","CD44","Human"
"787","TIMP3","MET","Human"
"788","TIMP3","AGTR2","Human"
"789","INHBE","ACVR2B","Human"
"790","LUM","ITGB1","Human"
"791","DHH","PTCH1","Human"
"792","DHH","HHIP","Human"
"793","DHH","BOC","Human"
"794","DHH","CDON","Human"
"795","DHH","PTCH2","Human"
"796","NPFF","NPFFR1","Human"
"797","NPFF","NPFFR2","Human"
"798","FGF7","FGFR2","Human"
"799","FGF7","FGFR4","Human"
"800","FGF7","FGFR1","Human"
"801","FGF7","FGFR3","Human"
"802","HDC","HRH1","Human"
"803","HDC","HRH2","Human"
"804","HDC","HRH3","Human"
"805","MFGE8","ITGB3","Human"
"806","IGFBP4","FZD8","Human"
"807","PTH2","PTH1R","Human"
"808","PTH2","ADCYAP1R1","Human"
"809","PTH2","TSHR","Human"
"810","PTH2","GPR20","Human"
"811","PTH2","GPR84","Human"
"812","PTH2","ADRB2","Human"
"813","PTH2","ADRB3","Human"
"814","PTH2","VIPR1","Human"
"815","PTH2","PTH2R","Human"
"816","PROK1","PROKR1","Human"
"817","CGN","F11R","Human"
"818","CGN","TGFBR2","Human"
"819","CGN","OCLN","Human"
"820","CGN","TGFBR1","Human"
"821","LEFTY1","ACVR2B","Human"
"822","LEFTY1","ACVR1B","Human"
"823","REN","ATP6AP2","Human"
"824","GDF7","BMPR2","Human"
"825","GDF7","BMPR1A","Human"
"826","CALM2","KCNQ3","Human"
"827","CALM2","EGFR","Human"
"828","CALM2","KCNQ5","Human"
"829","CALM2","GRM7","Human"
"830","CALM2","MYLK","Human"
"831","CALM2","PDE1A","Human"
"832","CALM2","INSR","Human"
"833","CALM2","ADCY8","Human"
"834","CALM2","PDE1C","Human"
"835","CALM2","GP6","Human"
"836","CALM2","SCN10A","Human"
"837","CALM2","PLPP6","Human"
"838","CALM2","AQP6","Human"
"839","CALM2","GRM5","Human"
"840","CALM2","MYLK2","Human"
"841","CALM2","AQP1","Human"
"842","CALM2","SCN4A","Human"
"843","NXPH2","NRXN1","Human"
"844","LRIG1","EGFR","Human"
"845","LRIG1","MET","Human"
"846","UCN2","IL10RB","Human"
"847","UCN2","CRHR2","Human"
"848","UCN2","CRHR1","Human"
"849","SFRP2","FZD5","Human"
"850","MEGF10","ABCA1","Human"
"851","IL9","IL2RG","Human"
"852","FGF18","FGFR2","Human"
"853","FGF18","FGFR4","Human"
"854","FGF18","FGFR1","Human"
"855","FGF18","FGFR3","Human"
"856","CRH","ADCYAP1R1","Human"
"857","CRH","ADRB2","Human"
"858","CRH","CRHR2","Human"
"859","CRH","GPR84","Human"
"860","CRH","PTH1R","Human"
"861","CRH","VIPR1","Human"
"862","CRH","GPR20","Human"
"863","CRH","MC2R","Human"
"864","CRH","CRHR1","Human"
"865","CRH","ADRB3","Human"
"866","CRH","TSHR","Human"
"867","RSPO2","LGR6","Human"
"868","RSPO2","LGR4","Human"
"869","RSPO2","ZNRF3","Human"
"870","IFNA1","IFNAR2","Human"
"871","IFNA1","CR2","Human"
"872","LIN7C","ABCA1","Human"
"873","LIN7C","KCNJ4","Human"
"874","SERPING1","SELE","Human"
"875","GPHA2","EPHA6","Human"
"876","GPHA2","TSHR","Human"
"877","CTF1","IL6ST","Human"
"878","IL18","CD48","Human"
"879","IL18","IL18R1","Human"
"880","IL18","IL1RAPL1","Human"
"881","IL18","IL18BP","Human"
"882","QDPR","DYSF","Human"
"883","PIGF","FLT1","Human"
"884","TNFSF4","TNFRSF4","Human"
"885","PTH","ADCYAP1R1","Human"
"886","PTH","ADRB2","Human"
"887","PTH","GPR84","Human"
"888","PTH","PTH1R","Human"
"889","PTH","VIPR1","Human"
"890","PTH","GPR20","Human"
"891","PTH","ADRB3","Human"
"892","PTH","TSHR","Human"
"893","BMP3","ACVR2B","Human"
"894","BMP3","BMPR2","Human"
"895","BMP3","BMPR1A","Human"
"896","BMP3","BMPR1B","Human"
"897","BMP6","HJV","Human"
"898","BMP6","BMPR2","Human"
"899","BMP6","BMPR1A","Human"
"900","BMP6","BMPR1B","Human"
"901","SEMA3D","PLXND1","Human"
"902","WNT3A","LRP5","Human"
"903","WNT3A","FZD5","Human"
"904","WNT3A","ROR1","Human"
"905","WNT3A","ATP6AP2","Human"
"906","WNT3A","APCDD1","Human"
"907","WNT3A","RYK","Human"
"908","WNT3A","FZD1","Human"
"909","WNT3A","FZD7","Human"
"910","WNT3A","FZD3","Human"
"911","WNT3A","FZD8","Human"
"912","WNT3A","FZD2","Human"
"913","WNT3A","FZD6","Human"
"914","APP","VLDLR","Human"
"915","APP","MTNR1A","Human"
"916","APP","FPR2","Human"
"917","APP","GRM7","Human"
"918","APP","LRP10","Human"
"919","APP","PLD1","Human"
"920","APP","TSPAN15","Human"
"921","APP","DCC","Human"
"922","APP","CAV1","Human"
"923","APP","RPSA","Human"
"924","APP","TNFRSF21","Human"
"925","APP","NCSTN","Human"
"926","APP","AGER","Human"
"927","WNT7A","LDLR","Human"
"928","WNT7A","RECK","Human"
"929","WNT7A","FZD9","Human"
"930","WNT7A","FZD5","Human"
"931","DKK2","KREMEN2","Human"
"932","WIF1","RYK","Human"
"933","ADAMTS3","CCBE1","Human"
"934","CXCL13","CCR10","Human"
"935","CXCL13","CXCR3","Human"
"936","CXCL13","GRM7","Human"
"937","CXCL13","CXCR5","Human"
"938","CXCL13","MTNR1A","Human"
"939","GDF6","BMPR2","Human"
"940","GDF6","BMPR1A","Human"
"941","GDF6","BMPR1B","Human"
"942","NODAL","ACVR2B","Human"
"943","NODAL","SMAD3","Human"
"944","NODAL","ACVR1B","Human"
"945","SST","SSTR5","Human"
"946","SST","SSTR2","Human"
"947","SST","MTNR1A","Human"
"948","SST","SSTR3","Human"
"949","SST","GRM7","Human"
"950","WNT4","FZD8","Human"
"951","WNT4","FZD2","Human"
"952","WNT4","FZD6","Human"
"953","ACE","BDKRB2","Human"
"954","ACE","AGTR2","Human"
"955","AGRP","MC4R","Human"
"956","AGRP","MC5R","Human"
"957","AGRP","SDC3","Human"
"958","PIP","AQP5","Human"
"959","CALM3","KCNQ3","Human"
"960","CALM3","KCNQ5","Human"
"961","CALM3","ESR1","Human"
"962","CALM3","GRM7","Human"
"963","CALM3","MYLK","Human"
"964","CALM3","PDE1A","Human"
"965","CALM3","INSR","Human"
"966","CALM3","RYR2","Human"
"967","CALM3","PDE1C","Human"
"968","CALM3","GP6","Human"
"969","CALM3","SCN10A","Human"
"970","CALM3","AQP6","Human"
"971","CALM3","GRM5","Human"
"972","CALM3","MYLK2","Human"
"973","CALM3","AR","Human"
"974","CALM3","AQP1","Human"
"975","CALM3","SCN4A","Human"
"976","TFF2","MUC6","Human"
"977","TFF1","MUC5AC","Human"
"978","S100B","ALCAM","Human"
"979","S100B","AGER","Human"
"980","S100A1","TRPM3","Human"
"981","S100A1","RYR2","Human"
"982","S100A1","RYR1","Human"
"983","S100A1","TLR4","Human"
"984","S100A1","AGER","Human"
"985","SCGB3A1","MARCO","Human"
"986","HCRT","HCRTR1","Human"
"987","HCRT","NPFFR2","Human"
"988","HCRT","HCRTR2","Human"
"989","SHANK1","ADGRB2","Human"
"990","SHANK1","ABCA1","Human"
"991","SHANK1","SSTR2","Human"
"992","SHANK1","ADGRL2","Human"
"993","SHANK1","ADGRL1","Human"
"994","WNT1","RYK","Human"
"995","WNT1","ROR2","Human"
"996","WNT1","LRP5","Human"
"997","WNT1","FZD9","Human"
"998","WNT1","FZD3","Human"
"999","WNT1","FZD8","Human"
"1000","WNT1","FZD5","Human"
"1001","CXCL16","GRM7","Human"
"1002","CXCL16","MTNR1A","Human"
"1003","CXCL16","CXCR6","Human"
"1004","TNFSF12","TNFRSF25","Human"
"1005","TNFSF12","TNFRSF12A","Human"
"1006","FGF11","FGFR2","Human"
"1007","FGF11","FGFR1","Human"
"1008","FGF11","FGFR3","Human"
"1009","NTN3","NEO1","Human"
"1010","NTN3","CDON","Human"
"1011","FGF19","FGFR2","Human"
"1012","FGF19","FGFR1","Human"
"1013","FGF19","FGFR3","Human"
"1014","DRAXIN","DCC","Human"
"1015","VCAM1","ITGA4","Human"
"1016","VCAM1","ITGB1","Human"
"1017","VCAM1","ITGB2","Human"
"1018","VCAM1","EZR","Human"
"1019","VCAM1","MSN","Human"
"1020","VCAM1","ITGAD","Human"
"1021","ARPC5","ADRB2","Human"
"1022","ARPC5","LDLR","Human"
"1023","INHBB","ACVR2B","Human"
"1024","INHBB","SMAD3","Human"
"1025","INHBB","ACVR1B","Human"
"1026","BMP10","ENG","Human"
"1027","BMP10","ACVRL1","Human"
"1028","BMP10","BMPR2","Human"
"1029","BMP10","BMPR1A","Human"
"1030","BMP10","BMPR1B","Human"
"1031","TGFA","ERBB4","Human"
"1032","COL6A3","ITGB1","Human"
"1033","COL6A3","ITGA2","Human"
"1034","PROK2","PROKR1","Human"
"1035","IHH","PTCH1","Human"
"1036","IHH","HHIP","Human"
"1037","IHH","BOC","Human"
"1038","IHH","CDON","Human"
"1039","IHH","PTCH2","Human"
"1040","CXCL3","MTNR1A","Human"
"1041","CXCL3","CXCR2","Human"
"1042","CXCL3","GRM7","Human"
"1043","CXCL5","MTNR1A","Human"
"1044","CXCL5","ACKR1","Human"
"1045","CXCL5","CXCR2","Human"
"1046","CXCL5","GRM7","Human"
"1047","PPBP","MTNR1A","Human"
"1048","PPBP","ACKR1","Human"
"1049","PPBP","CXCR2","Human"
"1050","PPBP","GRM7","Human"
"1051","PF4","CXCR3","Human"
"1052","PF4","FGFR2","Human"
"1053","PF4","SDC2","Human"
"1054","PF4","ACKR1","Human"
"1055","PF4","GRM7","Human"
"1056","PF4","LDLR","Human"
"1057","PF4","THBD","Human"
"1058","PF4","MTNR1A","Human"
"1059","UCN","CRHR1","Human"
"1060","UCN","CRHR2","Human"
"1061","TDGF1","ACVR2B","Human"
"1062","TDGF1","SMAD3","Human"
"1063","TDGF1","ACVR1B","Human"
"1064","LIPH","LPAR1","Human"
"1065","LIPH","LPAR4","Human"
"1066","LIPH","LPAR2","Human"
"1067","MELTF","TFRC","Human"
"1068","CAMP","P2RX7","Human"
"1069","CAMP","FPR2","Human"
"1070","IL15","IL15RA","Human"
"1071","IL15","IL2RA","Human"
"1072","IL15","IL2RG","Human"
"1073","SCGB3A2","MARCO","Human"
"1074","SPINK1","NRSN1","Human"
"1075","IL3","CSF2RB","Human"
"1076","IL3","IL3RA","Human"
"1077","CSF2","ITGB1","Human"
"1078","CSF2","CSF2RB","Human"
"1079","CSF2","CSF2RA","Human"
"1080","CSF2","IL3RA","Human"
"1081","CSF2","SDC2","Human"
"1082","CSF2","CSF3R","Human"
"1083","FABP5","RXRA","Human"
"1084","SHH","SCUBE2","Human"
"1085","SHH","BOC","Human"
"1086","SHH","GPC5","Human"
"1087","SHH","CDON","Human"
"1088","SHH","GAS1","Human"
"1089","SHH","PTCH1","Human"
"1090","SHH","PTCH2","Human"
"1091","COL1A2","CD44","Human"
"1092","COL1A2","ITGB1","Human"
"1093","COL1A2","ITGA11","Human"
"1094","COL1A2","ITGB3","Human"
"1095","COL1A2","CD36","Human"
"1096","DEFB1","CCR6","Human"
"1097","COL14A1","CD44","Human"
"1098","VEGFD","ITGA4","Human"
"1099","VEGFD","ITGB1","Human"
"1100","VEGFD","NRP2","Human"
"1101","ARF6","PLD1","Human"
"1102","ARF6","SMAP1","Human"
"1103","JAM3","ITGB1","Human"
"1104","JAM3","ITGB2","Human"
"1105","HSP90B1","TLR9","Human"
"1106","HSP90B1","TLR7","Human"
"1107","HSP90B1","TLR4","Human"
"1108","HSP90B1","TLR1","Human"
"1109","COL6A2","ITGB1","Human"
"1110","ANGPTL4","GPIHBP1","Human"
"1111","ANGPTL4","TIE1","Human"
"1112","FADD","ABCA1","Human"
"1113","FADD","FAS","Human"
"1114","FADD","TRADD","Human"
"1115","PNOC","GRM7","Human"
"1116","PNOC","OPRL1","Human"
"1117","PNOC","MTNR1A","Human"
"1118","PRL","PRLR","Human"
"1119","CCL11","CXCR3","Human"
"1120","CCL11","CCR3","Human"
"1121","CCL11","DPP4","Human"
"1122","CCL11","ACKR1","Human"
"1123","CCL11","ACKR2","Human"
"1124","NRTN","RET","Human"
"1125","NRTN","GFRA2","Human"
"1126","NRTN","GFRA1","Human"
"1127","IGF1","INSR","Human"
"1128","IGF1","IGF2R","Human"
"1129","INSL5","MTNR1A","Human"
"1130","INSL5","RXFP4","Human"
"1131","INSL5","RXFP3","Human"
"1132","INSL5","GRM7","Human"
"1133","IL16","GRIN2B","Human"
"1134","IL16","KCNJ4","Human"
"1135","IL16","KCNJ15","Human"
"1136","IL16","KCNA3","Human"
"1137","IL16","KCNJ10","Human"
"1138","IL16","KCND2","Human"
"1139","IL16","GRIN2A","Human"
"1140","HSPA4","TLR4","Human"
"1141","PCSK9","VLDLR","Human"
"1142","PCSK9","LDLR","Human"
"1143","SEMA3E","PLXND1","Human"
"1144","IL12A","IL12RB1","Human"
"1145","IL12A","CD28","Human"
"1146","TRH","TRHR","Human"
"1147","DEFB4A","CCR6","Human"
"1148","DEFB4A","TLR4","Human"
"1149","CD14","ITGA4","Human"
"1150","CD14","ITGB1","Human"
"1151","CD14","TLR6","Human"
"1152","CD14","TLR9","Human"
"1153","CD14","ITGB2","Human"
"1154","CD14","TLR4","Human"
"1155","CD14","TLR1","Human"
"1156","COL3A1","DDR2","Human"
"1157","COL3A1","ITGB1","Human"
"1158","COL3A1","MAG","Human"
"1159","COL3A1","DDR1","Human"
"1160","IL13","IL13RA2","Human"
"1161","IL13","TMEM219","Human"
"1162","IL13","IL2RG","Human"
"1163","IL13","IL13RA1","Human"
"1164","IL13","IL4R","Human"
"1165","NLGN2","NRXN1","Human"
"1166","NLGN2","NRXN3","Human"
"1167","NLGN2","MDGA1","Human"
"1168","CXCL10","DPP4","Human"
"1169","CXCL10","SDC4","Human"
"1170","CXCL10","CXCR3","Human"
"1171","CXCL10","CCR3","Human"
"1172","CXCL10","GRM7","Human"
"1173","BMP1","BMPR2","Human"
"1174","BMP1","BMPR1A","Human"
"1175","BMP1","BMPR1B","Human"
"1176","FGB","ITGAM","Human"
"1177","FGB","ITGB1","Human"
"1178","FGB","ITGB3","Human"
"1179","FGB","ITGB2","Human"
"1180","FGB","TLR4","Human"
"1181","FGA","ITGAM","Human"
"1182","FGA","ITGAX","Human"
"1183","FGA","ITGB1","Human"
"1184","FGA","PLAUR","Human"
"1185","FGA","ITGB3","Human"
"1186","FGA","CDH5","Human"
"1187","FGA","ITGB2","Human"
"1188","FGA","TLR4","Human"
"1189","FGA","ITGAD","Human"
"1190","CXCL8","SDC1","Human"
"1191","CXCL8","SDC3","Human"
"1192","CXCL8","SDC2","Human"
"1193","CXCL8","ACKR1","Human"
"1194","CXCL8","CXCR2","Human"
"1195","CXCL8","GRM7","Human"
"1196","SEMA4C","PLXNB2","Human"
"1197","CXCL11","DPP4","Human"
"1198","CXCL11","CXCR3","Human"
"1199","CXCL11","CCR3","Human"
"1200","CXCL11","ACKR1","Human"
"1201","CXCL11","GRM7","Human"
"1202","PRND","RPSA","Human"
"1203","HAS2","HMMR","Human"
"1204","HAS2","CD44","Human"
"1205","NPTX1","NPTXR","Human"
"1206","RGMB","HJV","Human"
"1207","RGMB","BMPR2","Human"
"1208","RGMB","NEO1","Human"
"1209","RGMB","BMPR1B","Human"
"1210","F2","GP1BB","Human"
"1211","F2","F2R","Human"
"1212","F2","THBD","Human"
"1213","F2","GP1BA","Human"
"1214","INHBC","ACVR2B","Human"
"1215","INHBC","ACVR1B","Human"
"1216","CCL19","CCR10","Human"
"1217","CCL19","CXCR3","Human"
"1218","CCL19","GRM7","Human"
"1219","CCL19","ACKR2","Human"
"1220","CCL19","CCRL2","Human"
"1221","PLG","ITGAM","Human"
"1222","PLG","ITGB1","Human"
"1223","PLG","PLAUR","Human"
"1224","PLG","ITGB2","Human"
"1225","PLG","F2R","Human"
"1226","PLG","IGF2R","Human"
"1227","PLG","F3","Human"
"1228","CLCF1","CNTFR","Human"
"1229","CLCF1","CRLF1","Human"
"1230","CLCF1","IL6ST","Human"
"1231","CSHL1","GHR","Human"
"1232","LPL","GPIHBP1","Human"
"1233","LPL","CD44","Human"
"1234","LPL","SDC1","Human"
"1235","LPL","VLDLR","Human"
"1236","EFEMP2","AQP1","Human"
"1237","EFEMP2","PLSCR4","Human"
"1238","ADAM17","MUC1","Human"
"1239","ADAM17","ITGB1","Human"
"1240","ADAM17","RHBDF2","Human"
"1241","ADAM17","IL6R","Human"
"1242","ADAM17","MET","Human"
"1243","ADAM17","ERBB4","Human"
"1244","VEGFB","RET","Human"
"1245","FGF5","FGFR2","Human"
"1246","FGF5","FGFR1","Human"
"1247","FGF5","FGFR3","Human"
"1248","LEP","LEPR","Human"
"1249","GH1","GHR","Human"
"1250","GH1","PRLR","Human"
"1251","GNAI2","LPAR3","Human"
"1252","GNAI2","S1PR5","Human"
"1253","GNAI2","EDNRA","Human"
"1254","GNAI2","ADORA1","Human"
"1255","GNAI2","C5AR1","Human"
"1256","GNAI2","ADRA2B","Human"
"1257","GNAI2","F2R","Human"
"1258","GNAI2","FPR1","Human"
"1259","GNAI2","S1PR3","Human"
"1260","GNAI2","OPRM1","Human"
"1261","GNAI2","UNC5B","Human"
"1262","GNAI2","CAV1","Human"
"1263","GNAI2","PTPRU","Human"
"1264","GNAI2","TBXA2R","Human"
"1265","GNAI2","CXCR3","Human"
"1266","GNAI2","EDNRB","Human"
"1267","GNAI2","CXCR2","Human"
"1268","GNAI2","DRD2","Human"
"1269","GNAI2","ADCY7","Human"
"1270","GNAI2","TSHR","Human"
"1271","GNAI2","AGTR2","Human"
"1272","GNAI2","CNR1","Human"
"1273","ANGPT2","TIE1","Human"
"1274","ANGPT2","TEK","Human"
"1275","TLN1","ITGB3","Human"
"1276","CSH1","PRLR","Human"
"1277","AGTRAP","RACK1","Human"
"1278","PKM","CD44","Human"
"1279","CALR","MPL","Human"
"1280","CALR","TSHR","Human"
"1281","DEFB103A","CCR6","Human"
"1282","TAC1","TACR2","Human"
"1283","LPA","ITGAM","Human"
"1284","LPA","LPAR3","Human"
"1285","LPA","ITGB2","Human"
"1286","LPA","LPAR1","Human"
"1287","LPA","LPAR4","Human"
"1288","LPA","LPAR2","Human"
"1289","FGF8","FGFR2","Human"
"1290","FGF8","FGFRL1","Human"
"1291","FGF8","FGFR1","Human"
"1292","FGF8","FGFR3","Human"
"1293","FGF13","FGFR1","Human"
"1294","FGF13","SCN5A","Human"
"1295","FGF13","FGFR2","Human"
"1296","FGF13","FGFR3","Human"
"1297","FGF13","SCN8A","Human"
"1298","MMP1","CD44","Human"
"1299","PENK","OPRM1","Human"
"1300","PENK","GRM7","Human"
"1301","LAMA3","ITGB1","Human"
"1302","DEFB103B","CCR6","Human"
"1303","SEMA6D","TREM2","Human"
"1304","SEMA6D","PLXNA1","Human"
"1305","MTMR4","SMAD3","Human"
"1306","WNT11","MUSK","Human"
"1307","WNT11","KLRG2","Human"
"1308","FBN1","ITGB3","Human"
"1309","FBN1","ITGB1","Human"
"1310","PSEN1","NOTCH4","Human"
"1311","PSEN1","CD44","Human"
"1312","BGN","TLR4","Human"
"1313","BGN","TLR1","Human"
"1314","BMP8A","BMPR2","Human"
"1315","BMP8A","BMPR1A","Human"
"1316","BMP8A","BMPR1B","Human"
"1317","CSF1","SIRPA","Human"
"1318","IZUMO1","CD9","Human"
"1319","IZUMO1","IZUMO1R","Human"
"1320","P4HB","MTTP","Human"
"1321","JAG2","NOTCH4","Human"
"1322","EFNA5","EPHB6","Human"
"1323","EFNA5","EPHA7","Human"
"1324","EFNA5","EPHA10","Human"
"1325","EFNA5","EPHA3","Human"
"1326","EFNA5","EPHA5","Human"
"1327","EFNA5","EPHB1","Human"
"1328","EFNA5","EPHB2","Human"
"1329","EFNA5","EPHA6","Human"
"1330","EFNA5","EPHA2","Human"
"1331","NXPH3","NRXN1","Human"
"1332","NXPH3","NRXN3","Human"
"1333","SERPINA7","SLC16A2","Human"
"1334","NPW","NPBWR2","Human"
"1335","NPW","GRM7","Human"
"1336","NPW","NPBWR1","Human"
"1337","CTHRC1","FZD5","Human"
"1338","CTHRC1","FZD6","Human"
"1339","CTHRC1","FZD3","Human"
"1340","CNTN2","CNTNAP2","Human"
"1341","CNTN2","CNTN1","Human"
"1342","CNTN2","NRCAM","Human"
"1343","BCAN","NRCAM","Human"
"1344","GAST","CCKBR","Human"
"1345","FBLN1","ITGB1","Human"
"1346","CALCA","ADCYAP1R1","Human"
"1347","CALCA","CALCRL","Human"
"1348","CALCA","GPR84","Human"
"1349","CALCA","CALCR","Human"
"1350","CALCA","GPR20","Human"
"1351","CALCA","ADRB3","Human"
"1352","CALCA","TSHR","Human"
"1353","COL4A5","CD47","Human"
"1354","COL4A5","ITGB1","Human"
"1355","SLIT3","ROBO2","Human"
"1356","SLIT3","ROBO1","Human"
"1357","PMCH","GRM7","Human"
"1358","COL7A1","ITGB1","Human"
"1359","NPB","NPBWR2","Human"
"1360","NPB","GRM7","Human"
"1361","GH2","GHR","Human"
"1362","BTLA","VTCN1","Human"
"1363","BTLA","TNFRSF14","Human"
"1364","BTLA","CD247","Human"
"1365","TAC4","TACR2","Human"
"1366","FGF3","FGFR2","Human"
"1367","FGF3","FGFR1","Human"
"1368","FGF3","FGFR3","Human"
"1369","GHRL","PTGER3","Human"
"1370","GHRL","TBXA2R","Human"
"1371","HSP90AA1","ITGB3","Human"
"1372","HSP90AA1","FGFR3","Human"
"1373","FGG","ITGB1","Human"
"1374","FGG","ITGB3","Human"
"1375","FGG","ITGB2","Human"
"1376","FGG","TLR4","Human"
"1377","CXCL14","CXCR4","Human"
"1378","EDN3","EDNRB","Human"
"1379","EDN3","KEL","Human"
"1380","RTN4","TNFRSF19","Human"
"1381","RTN4","GJB2","Human"
"1382","RTN4","LINGO1","Human"
"1383","C1QTNF1","AVPR2","Human"
"1384","DMP1","PHEX","Human"
"1385","DMP1","ITGB3","Human"
"1386","NTN4","DCC","Human"
"1387","WNT7B","FZD4","Human"
"1388","WNT7B","TMED5","Human"
"1389","PTN","SDC1","Human"
"1390","PTN","SDC3","Human"
"1391","PTN","PTPRZ1","Human"
"1392","PTN","PTPRS","Human"
"1393","PTN","ALK","Human"
"1394","NCR3LG1","NCR3","Human"
"1395","COL9A3","ITGB1","Human"
"1396","COL9A3","MAG","Human"
"1397","SLPI","PLSCR4","Human"
"1398","ICAM4","ITGAM","Human"
"1399","ICAM4","ITGAL","Human"
"1400","ICAM4","ITGA4","Human"
"1401","ICAM4","ITGB3","Human"
"1402","ICAM4","ITGB2","Human"
"1403","ICAM4","ITGB1","Human"
"1404","ICAM4","RHAG","Human"
"1405","TNFSF13","TNFRSF14","Human"
"1406","TNFSF13","FAS","Human"
"1407","HMGB1","SDC1","Human"
"1408","HMGB1","TLR9","Human"
"1409","HMGB1","THBD","Human"
"1410","HMGB1","TLR4","Human"
"1411","HMGB1","CXCR4","Human"
"1412","HMGB1","AGER","Human"
"1413","HMGB1","CD163","Human"
"1414","FYN","SPN","Human"
"1415","FN1","ITGA4","Human"
"1416","FN1","ITGB3","Human"
"1417","FN1","C5AR1","Human"
"1418","FN1","ITGA6","Human"
"1419","FN1","ITGA8","Human"
"1420","FN1","DPP4","Human"
"1421","FN1","CD44","Human"
"1422","FN1","ITGB1","Human"
"1423","FN1","TMPRSS6","Human"
"1424","FN1","COL13A1","Human"
"1425","FN1","TSHR","Human"
"1426","FN1","MAG","Human"
"1427","COL18A1","ITGB1","Human"
"1428","COL18A1","ITGB3","Human"
"1429","COL18A1","GPC4","Human"
"1430","HP","ITGAM","Human"
"1431","HP","ITGB2","Human"
"1432","HP","TLR4","Human"
"1433","HP","CD163","Human"
"1434","RSPO1","LGR6","Human"
"1435","RSPO1","LGR4","Human"
"1436","RSPO1","ZNRF3","Human"
"1437","RSPO1","FZD8","Human"
"1438","RSPO3","LGR6","Human"
"1439","RSPO3","LGR4","Human"
"1440","RSPO3","SDC4","Human"
"1441","RSPO3","FZD8","Human"
"1442","ADAM15","ITGB1","Human"
"1443","ADAM15","ITGB3","Human"
"1444","CALM1","KCNQ3","Human"
"1445","CALM1","GRM3","Human"
"1446","CALM1","CALCR","Human"
"1447","CALM1","GRM4","Human"
"1448","CALM1","CRHR1","Human"
"1449","CALM1","GRM7","Human"
"1450","CALM1","MYLK","Human"
"1451","CALM1","PDE1A","Human"
"1452","CALM1","HMMR","Human"
"1453","CALM1","ADCYAP1R1","Human"
"1454","CALM1","OPRM1","Human"
"1455","CALM1","RYR2","Human"
"1456","CALM1","GLP1R","Human"
"1457","CALM1","PDE1C","Human"
"1458","CALM1","TRPC3","Human"
"1459","CALM1","SCN10A","Human"
"1460","CALM1","AQP6","Human"
"1461","CALM1","PTPRA","Human"
"1462","CALM1","MYLK2","Human"
"1463","CALM1","SCN4A","Human"
"1464","COL9A1","ITGB1","Human"
"1465","COL9A1","MAG","Human"
"1466","GIP","ADCYAP1R1","Human"
"1467","GIP","GIPR","Human"
"1468","GIP","DPP4","Human"
"1469","GIP","TSHR","Human"
"1470","GIP","GPR20","Human"
"1471","GIP","GPR84","Human"
"1472","APOA4","LDLR","Human"
"1473","SEMA4F","NRP2","Human"
"1474","GAD1","GRM4","Human"
"1475","ITIH2","FCER1A","Human"
"1476","ALKAL1","ALK","Human"
"1477","NLGN3","NRXN1","Human"
"1478","NLGN3","NRXN3","Human"
"1479","CCL20","CXCR3","Human"
"1480","CCL20","CCR6","Human"
"1481","FGF17","FGFR2","Human"
"1482","FGF17","FGFR1","Human"
"1483","PYY","NPY5R","Human"
"1484","PYY","DPP4","Human"
"1485","PYY","NPY1R","Human"
"1486","PYY","NPY4R","Human"
"1487","F8","LDLR","Human"
"1488","COL4A2","ITGB3","Human"
"1489","LAMC3","ITGA6","Human"
"1490","LAMC3","ITGB1","Human"
"1491","CCL28","ACKR2","Human"
"1492","CCL28","CCR3","Human"
"1493","CXCL9","CXCR3","Human"
"1494","CXCL9","CCR3","Human"
"1495","COL6A1","ITGB1","Human"
"1496","COL6A1","ITGA6","Human"
"1497","TGM2","ITGA4","Human"
"1498","TGM2","ITGB1","Human"
"1499","TGM2","ITGB3","Human"
"1500","TGM2","SDC4","Human"
"1501","TGM2","TBXA2R","Human"
"1502","TGM2","ADGRG1","Human"
"1503","CNTF","CNTFR","Human"
"1504","CNTF","IL6R","Human"
"1505","CNTF","IL6ST","Human"
"1506","AGT","AGTR1","Human"
"1507","AGT","AGTR2","Human"
"1508","DLL1","NOTCH4","Human"
"1509","THBS2","ITGA4","Human"
"1510","THBS2","ITGB1","Human"
"1511","THBS2","ITGB3","Human"
"1512","THBS2","NOTCH4","Human"
"1513","THBS2","ITGA6","Human"
"1514","THBS2","CD36","Human"
"1515","LEFTY2","ACVR1B","Human"
"1516","TGFB2","ENG","Human"
"1517","TGFB2","TGFBR1","Human"
"1518","C4BPA","BMPR2","Human"
"1519","C4BPA","CD40","Human"
"1520","VIP","ADCYAP1R1","Human"
"1521","VIP","GPR84","Human"
"1522","VIP","GPR20","Human"
"1523","VIP","TSHR","Human"
"1524","CFH","ITGAM","Human"
"1525","PTGS2","ALOX5","Human"
"1526","FASLG","TNFRSF6B","Human"
"1527","XCL1","ADGRV1","Human"
"1528","CCN2","ITGAM","Human"
"1529","CCN2","NTRK1","Human"
"1530","CCN2","ITGB2","Human"
"1531","APOA2","LDLR","Human"
"1532","SEMA4A","PLXNB2","Human"
"1533","SEMA4A","PLXNB3","Human"
"1534","EFNA1","EPHB6","Human"
"1535","EFNA1","EPHA7","Human"
"1536","EFNA1","EPHA10","Human"
"1537","EFNA1","EPHA5","Human"
"1538","EFNA1","EPHB1","Human"
